lake,system,n_months,n_observed,n_missing,coverage_pct,longest_gap_months,sd_m,iqr_m,range_m
Kalamalka,Okanagan,372,368,4,98.9,2,0.198,0.211,1.339
Okanagan,Okanagan,372,372,0,100.0,0,0.293,0.363,1.895
Skaha,Okanagan,372,365,7,98.1,3,0.058,0.085,0.292
Vaseux,Okanagan,372,372,0,100.0,0,0.123,0.141,0.727
Rainy,Nelson–Winnipeg,372,371,1,99.7,1,0.319,0.439,2.167
Lake of the Woods,Nelson–Winnipeg,372,372,0,100.0,0,0.282,0.371,1.75
Playgreen,Nelson–Winnipeg,372,324,48,87.1,12,0.291,0.411,1.491
Kiskitto,Nelson–Winnipeg,372,322,50,86.6,13,0.235,0.241,1.402
Sipiwesk,Nelson–Winnipeg,372,330,42,88.7,12,0.96,1.276,4.402
Split,Nelson–Winnipeg,372,354,18,95.2,6,0.667,0.908,3.53
