lake,system,driver,rho,lag_d_months,p_fdr,kendall_tau_L,kendall_p,n_months,E,temporal_class,causal_evidence
Kalamalka,Okanagan,Regulated flow,0.809,2,0.005,0.83,0.00085,319,4,Positive,Yes
Kalamalka,Okanagan,Runoff,0.484,0,0.005,0.89,0.00024,319,4,Contemporaneous,Yes
Kalamalka,Okanagan,Evaporation,0.257,1,0.0381,1.0,5.5e-06,319,4,Positive,Yes
Okanagan,Okanagan,Regulated flow,0.464,1,0.005,0.72,0.0059,334,2,Positive,Yes
Okanagan,Okanagan,Runoff,0.389,0,0.0088,0.94,5e-05,334,2,Contemporaneous,Yes
Vaseux,Okanagan,Regulated flow,0.825,1,0.005,0.89,0.00024,117,8,Positive,Yes
Vaseux,Okanagan,Runoff,0.406,1,0.0088,0.83,0.00085,328,8,Positive,Yes
Vaseux,Okanagan,Precipitation,0.234,4,0.0088,1.0,5.5e-06,328,8,Positive,Yes
Vaseux,Okanagan,Evaporation,0.298,4,0.0088,1.0,5.5e-06,328,8,Positive,Yes
Vaseux,Okanagan,SWE,0.432,4,0.0351,0.94,5e-05,328,8,Positive,Yes
Rainy,Nelson–Winnipeg,Regulated flow,0.64,1,0.005,1.0,5.5e-06,331,3,Positive,Yes
Lake of the Woods,Nelson–Winnipeg,Regulated flow,0.844,0,0.005,0.83,0.00085,330,3,Contemporaneous,Yes
Lake of the Woods,Nelson–Winnipeg,Runoff,0.71,2,0.005,0.89,0.00024,333,3,Positive,Yes
Lake of the Woods,Nelson–Winnipeg,Precipitation,0.463,2,0.005,0.89,0.00024,333,3,Positive,Yes
Lake of the Woods,Nelson–Winnipeg,Evaporation,0.278,3,0.0088,0.94,5e-05,332,3,Positive,Yes
Playgreen,Nelson–Winnipeg,Regulated flow,0.607,0,0.005,0.89,0.00024,293,2,Contemporaneous,Yes
Playgreen,Nelson–Winnipeg,Runoff,0.531,1,0.005,1.0,5.5e-06,294,2,Positive,Yes
Playgreen,Nelson–Winnipeg,Precipitation,0.33,6,0.005,1.0,5.5e-06,289,2,Positive,Yes
Kiskitto,Nelson–Winnipeg,Runoff,0.617,-1,0.005,1.0,5.5e-06,282,2,Negative,No
Kiskitto,Nelson–Winnipeg,Precipitation,0.326,1,0.0088,1.0,5.5e-06,283,2,Positive,Yes
Sipiwesk,Nelson–Winnipeg,Regulated flow,0.952,1,0.005,0.83,0.00085,239,5,Positive,Yes
Sipiwesk,Nelson–Winnipeg,Precipitation,0.26,-5,0.0204,1.0,5.5e-06,234,5,Negative,No
Split,Nelson–Winnipeg,Regulated flow,0.983,1,0.005,1.0,5.5e-06,303,3,Positive,Yes
Split,Nelson–Winnipeg,Runoff,0.601,3,0.005,0.67,0.013,303,3,Positive,Yes
