lake,method,selected_vars,selected_lags
Kalamalka,CCM_direct,"Evap,R,RegFlow","{""Evap"": 1, ""R"": 1, ""RegFlow"": 2}"
Kalamalka,CCM_ancestors,"Evap,P,R,RegFlow,SWE,T","{""Evap"": 1, ""P"": 2, ""R"": 1, ""RegFlow"": 2, ""SWE"": 3, ""T"": 4}"
Kalamalka,Stepwise,"R,RegFlow,SWE,T","{""R"": 1, ""RegFlow"": 1, ""SWE"": 3, ""T"": 5}"
Kalamalka,CCM_neighbor,"Okanagan_Lake,Playgreen_Lake,Sipiwesk_Lake,Split_Lake,Vaseux_Lake","{""_neighbor_Okanagan_Lake"": 2, ""_neighbor_Playgreen_Lake"": 6, ""_neighbor_Sipiwesk_Lake"": 3, ""_neighbor_Split_Lake"": 2, ""_neighbor_Vaseux_Lake"": 1}"
Kiskitto,CCM_direct,P,"{""P"": 1}"
Kiskitto,CCM_ancestors,P,"{""P"": 1}"
Kiskitto,Stepwise,"P,R,RegFlow,SWE,T","{""P"": 2, ""R"": 1, ""RegFlow"": 1, ""SWE"": 12, ""T"": 4}"
Lake of the Woods,CCM_direct,"Evap,P,R,RegFlow","{""Evap"": 3, ""P"": 2, ""R"": 2, ""RegFlow"": 1}"
Lake of the Woods,CCM_ancestors,"Evap,P,R,RegFlow,SWE,T","{""Evap"": 3, ""P"": 2, ""R"": 2, ""RegFlow"": 1, ""SWE"": 12, ""T"": 4}"
Lake of the Woods,Stepwise,"Evap,P,R,RegFlow,SWE","{""Evap"": 1, ""P"": 1, ""R"": 1, ""RegFlow"": 1, ""SWE"": 3}"
Lake of the Woods,CCM_neighbor,Rainy_Lake,"{""_neighbor_Rainy_Lake"": 1}"
Okanagan,CCM_direct,"R,RegFlow","{""R"": 2, ""RegFlow"": 1}"
Okanagan,CCM_ancestors,"Evap,P,R,RegFlow,SWE,T","{""Evap"": 9, ""P"": 2, ""R"": 2, ""RegFlow"": 1, ""SWE"": 7, ""T"": 4}"
Okanagan,Stepwise,"Evap,P,R,RegFlow,SWE","{""Evap"": 12, ""P"": 1, ""R"": 1, ""RegFlow"": 1, ""SWE"": 9}"
Okanagan,CCM_neighbor,"Kalamalka_Lake,Playgreen_Lake,Rainy_Lake","{""_neighbor_Kalamalka_Lake"": 1, ""_neighbor_Playgreen_Lake"": 1, ""_neighbor_Rainy_Lake"": 6}"
Playgreen,CCM_direct,"P,R,RegFlow","{""P"": 6, ""R"": 1, ""RegFlow"": 1}"
Playgreen,CCM_ancestors,"Evap,P,R,RegFlow,SWE,T","{""Evap"": 11, ""P"": 6, ""R"": 1, ""RegFlow"": 1, ""SWE"": 2, ""T"": 1}"
Playgreen,Stepwise,"P,R,RegFlow,SWE","{""P"": 4, ""R"": 2, ""RegFlow"": 1, ""SWE"": 5}"
Playgreen,CCM_neighbor,"Sipiwesk_Lake,Split_Lake","{""_neighbor_Sipiwesk_Lake"": 1, ""_neighbor_Split_Lake"": 1}"
Rainy,CCM_direct,RegFlow,"{""RegFlow"": 1}"
Rainy,CCM_ancestors,"Evap,P,R,RegFlow,SWE,T","{""Evap"": 3, ""P"": 1, ""R"": 1, ""RegFlow"": 1, ""SWE"": 2, ""T"": 4}"
Rainy,Stepwise,"Evap,P,R,RegFlow","{""Evap"": 1, ""P"": 1, ""R"": 1, ""RegFlow"": 1}"
Rainy,CCM_neighbor,Lake_of_the_Woods,"{""_neighbor_Lake_of_the_Woods"": 1}"
Sipiwesk,CCM_direct,RegFlow,"{""RegFlow"": 1}"
Sipiwesk,CCM_ancestors,"Evap,P,R,RegFlow,SWE,T","{""Evap"": 2, ""P"": 10, ""R"": 3, ""RegFlow"": 1, ""SWE"": 4, ""T"": 12}"
Sipiwesk,Stepwise,"Evap,P,R,RegFlow,T","{""Evap"": 1, ""P"": 9, ""R"": 2, ""RegFlow"": 1, ""T"": 7}"
Sipiwesk,CCM_neighbor,"Lake_of_the_Woods,Rainy_Lake,Split_Lake","{""_neighbor_Lake_of_the_Woods"": 3, ""_neighbor_Rainy_Lake"": 6, ""_neighbor_Split_Lake"": 1}"
Skaha,CCM_direct,,{}
Skaha,CCM_ancestors,,{}
Skaha,Stepwise,"P,R,T","{""P"": 1, ""R"": 1, ""T"": 11}"
Split,CCM_direct,"R,RegFlow","{""R"": 3, ""RegFlow"": 1}"
Split,CCM_ancestors,"P,R,RegFlow,SWE","{""P"": 6, ""R"": 3, ""RegFlow"": 1, ""SWE"": 5}"
Split,Stepwise,"Evap,P,R,RegFlow","{""Evap"": 1, ""P"": 9, ""R"": 1, ""RegFlow"": 1}"
Split,CCM_neighbor,"Lake_of_the_Woods,Playgreen_Lake,Rainy_Lake,Sipiwesk_Lake","{""_neighbor_Lake_of_the_Woods"": 3, ""_neighbor_Playgreen_Lake"": 2, ""_neighbor_Rainy_Lake"": 3, ""_neighbor_Sipiwesk_Lake"": 2}"
Vaseux,CCM_direct,"Evap,P,R,SWE","{""Evap"": 4, ""P"": 4, ""R"": 1, ""SWE"": 4}"
Vaseux,CCM_ancestors,"Evap,P,R,SWE","{""Evap"": 4, ""P"": 4, ""R"": 1, ""SWE"": 4}"
Vaseux,Stepwise,"Evap,P,R,SWE,T","{""Evap"": 2, ""P"": 2, ""R"": 1, ""SWE"": 2, ""T"": 3}"
Vaseux,CCM_neighbor,"Kalamalka_Lake,Okanagan_Lake,Skaha_Lake","{""_neighbor_Kalamalka_Lake"": 6, ""_neighbor_Okanagan_Lake"": 7, ""_neighbor_Skaha_Lake"": 4}"
