lake,Persistence,SARIMA,SARIMAX_all_vars,SARIMAX_Stepwise,SARIMAX_CCM_direct,SARIMAX_CCM_ancestors,SARIMAX_CCM_neighbor,XGBoost_AR_only,XGBoost_all_vars,XGBoost_Stepwise,XGBoost_CCM_direct,XGBoost_CCM_ancestors,XGBoost_CCM_neighbor
Kalamalka,无外生,"(1,0,1)(0,0,0,12)","(1,0,1)(1,0,0,12)","(1,0,1)(0,0,0,12)","(2,0,0)(0,0,0,12)","(1,0,2)(0,0,0,12)",失败,无外生,6,4,3,6,11
Okanagan,无外生,"(1,0,1)(0,0,0,12)","(1,0,2)(0,0,0,12)","(1,0,3)(1,0,0,12)","(3,0,0)(0,0,0,12)","(3,0,2)(1,0,0,12)",失败,无外生,6,5,2,6,9
Skaha,无外生,"(1,0,0)(0,0,0,12)","(1,0,0)(0,0,0,12)","(1,0,0)(0,0,0,12)",不适用,不适用,不适用,无外生,6,3,不适用,不适用,不适用
Vaseux,无外生,"(1,1,2)(0,0,2,12)","(1,0,0)(0,0,0,12)","(1,0,0)(0,0,0,12)","(1,1,1)(0,0,0,12)","(1,1,1)(0,0,0,12)","(1,1,1)(2,0,1,12)",无外生,5,5,4,4,7
Rainy,无外生,"(2,1,2)(1,0,2,12)",失败,失败,失败,失败,失败,无外生,6,4,1,6,7
Lake of the Woods,无外生,"(2,1,3)(0,0,2,12)",失败,失败,失败,失败,失败,无外生,6,5,4,6,7
Playgreen,无外生,"(2,0,2)(0,0,0,12)",失败,失败,失败,失败,失败,无外生,6,4,3,6,8
Kiskitto,无外生,"(1,1,0)(0,0,0,12)",失败,失败,"(1,1,0)(0,0,0,12)","(1,1,0)(0,0,0,12)",不适用,无外生,6,5,1,1,不适用
Sipiwesk,无外生,"(3,0,3)(2,0,0,12)",失败,失败,失败,失败,失败,无外生,6,5,1,6,9
Split,无外生,"(0,1,1)(0,0,0,12)",失败,失败,失败,失败,失败,无外生,6,4,2,4,8
