lake,system,month,WL,RegFlow,R,P,Evap,SWE,T
Kalamalka,Okanagan,1994-01-01,5.301,1.22,6.7696039186557755,52.51989979296923,0.6602148059755564,116.04584008455276,-0.8420166015624773
Kalamalka,Okanagan,1994-02-01,5.277,0.317,5.704476672690362,75.33202785998583,1.7022043466567993,154.28470075130463,-5.161352539062477
Kalamalka,Okanagan,1994-03-01,5.332,1.36,12.973635777598247,39.14614534005523,7.284514140337706,177.2029548883438,1.4463134765625227
Kalamalka,Okanagan,1994-04-01,5.468,3.02,55.292987963184714,53.80297894589603,39.992001838982105,56.121207773685455,7.146997070312523
Kalamalka,Okanagan,1994-05-01,5.65,3.89,57.74558684788644,49.91066153161228,90.42194322682917,0.35375705920159817,12.218408203125023
Kalamalka,Okanagan,1994-06-01,5.595,0.708,34.714462235569954,76.61362644284964,100.8189283311367,0.0005609849154097901,14.596337890625023
Kalamalka,Okanagan,1994-07-01,5.552,0.255,21.257520478684455,19.073310249950737,86.59713482484221,-7.345364920210326e-22,21.100976562500023
Kalamalka,Okanagan,1994-08-01,5.45,0.121,13.998236885527149,60.11122965719551,78.57139385305345,-7.345364920210326e-22,19.242822265625023
Kalamalka,Okanagan,1994-09-01,5.349,1.18,8.912257617339492,16.827875515446067,51.04067735373974,-7.345364920210326e-22,16.246850585937523
Kalamalka,Okanagan,1994-10-01,5.22,0.334,7.977186265634373,73.30307876691222,31.990410294383764,1.0458441684022546,6.890283203125023
Kalamalka,Okanagan,1994-11-01,5.2,0.111,5.526218446902931,69.94182709604502,11.394795728847384,39.95070606470108,-3.2065185546874773
Kalamalka,Okanagan,1994-12-01,5.2,0.118,5.179525483981706,72.87496514618397,2.3326107766479254,104.07554358243942,-5.349951171874977
Kalamalka,Okanagan,1995-01-01,5.23,0.125,4.498400856391527,51.52943322900683,-0.6855996325612068,161.7799699306488,-6.548437499999977
Kalamalka,Okanagan,1995-02-01,5.283,0.13,4.570499819237739,46.45157791674137,4.1376035660505295,202.57310569286346,-1.9198974609374773
Kalamalka,Okanagan,1995-03-01,5.306,0.734,6.5142349631059915,49.755111802369356,8.59786313958466,211.25704050064087,-0.07883300781247726
Kalamalka,Okanagan,1995-04-01,5.309,1.61,26.144437724724412,41.362030897289515,29.399815248325467,134.3219429254532,4.845361328125023
Kalamalka,Okanagan,1995-05-01,5.439,2.52,58.03141696378589,30.859085731208324,90.59944935142994,14.294680207967758,12.126123046875023
