cause,effect,status,obs_lag,obs_rho,obs_n,p_value,null_mean,null_std,n_valid_surrogates,convergence_diagnostic_pass,kendall_tau,kendall_p,completed_at,lake,p_fdr,statistically_significant,lag_resolution,causal_evidence
Evap,P,OK,0,0.14087,329,0.3592814371257485,0.12793780000000002,0.03929028862658049,500,False,0.2777777777777778,0.35848765432098767,2026-08-27T06:48:21,Kalamalka_Lake,0.420329257918703,False,not_significant,False
Evap,R,OK,5,0.36375,329,0.001996007984031936,0.106407,0.04540326427251679,500,True,1.0,5.5114638447971785e-06,2026-08-27T07:00:17,Kalamalka_Lake,0.004960493214753924,True,resolved,True
Evap,RegFlow,OK,1,0.15237,332,0.16966067864271456,0.11251038,0.0419243074558853,500,True,1.0,5.5114638447971785e-06,2026-08-27T06:51:12,Kalamalka_Lake,0.22621423819028608,False,not_significant,False
Evap,SWE,OK,6,0.41586,329,0.001996007984031936,0.12134658000000001,0.04480464757258559,500,True,0.8333333333333334,0.0008542768959435626,2026-08-27T06:59:51,Kalamalka_Lake,0.004960493214753924,True,resolved,True
Evap,T,OK,2,0.12121,326,0.37325349301397204,0.10865498,0.045146121452452594,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T07:04:05,Kalamalka_Lake,0.42832368050783676,False,not_significant,False
Evap,WL,OK,1,0.25731,319,0.01996007984031936,0.15796871999999998,0.04358055026685184,500,True,1.0,5.5114638447971785e-06,2026-08-27T06:59:13,Kalamalka_Lake,0.03810560696788241,True,resolved,True
P,Evap,OK,3,0.2808,331,0.001996007984031936,0.11020521999999999,0.037472965478483285,500,True,1.0,5.5114638447971785e-06,2026-08-27T06:57:06,Kalamalka_Lake,0.004960493214753924,True,resolved,True
P,R,OK,5,0.26752,329,0.001996007984031936,0.08293718000000001,0.042467557290802586,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T07:02:46,Kalamalka_Lake,0.004960493214753924,True,resolved,True
P,RegFlow,OK,3,0.16071,332,0.06387225548902195,0.0952183,0.03998879832790678,500,True,0.8333333333333334,0.0008542768959435626,2026-08-27T06:58:43,Kalamalka_Lake,0.1016149519143531,False,not_significant,False
P,SWE,OK,1,0.21696,329,0.00998003992015968,0.10820738,0.04211563571092808,500,True,0.6666666666666666,0.012665343915343916,2026-08-27T06:47:16,Kalamalka_Lake,0.020446911055936906,True,resolved,True
P,T,OK,7,0.20592,326,0.01996007984031936,0.10823558,0.04491532340152523,500,True,0.7777777777777778,0.0024250440917107582,2026-08-27T07:00:02,Kalamalka_Lake,0.03810560696788241,True,resolved,True
P,WL,OK,2,0.20871,319,0.041916167664670656,0.13067622,0.039780141004169406,500,True,1.0,5.5114638447971785e-06,2026-08-27T07:03:05,Kalamalka_Lake,0.07098705814178095,False,not_significant,False
R,Evap,OK,-1,0.38169,330,0.003992015968063872,0.11124636,0.0513673249444664,500,True,0.8888888888888888,0.00024250440917107584,2026-08-27T07:08:41,Kalamalka_Lake,0.00877825500830799,True,rejected_reverse,False
R,P,OK,0,0.4075,329,0.001996007984031936,0.13198434,0.04947398176985959,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T08:56:48,Kalamalka_Lake,0.004960493214753924,True,unresolved_contemporaneous,True
R,RegFlow,OK,2,0.66223,332,0.001996007984031936,0.16504902000000002,0.05888689020180638,500,True,1.0,5.5114638447971785e-06,2026-08-27T07:00:21,Kalamalka_Lake,0.004960493214753924,True,resolved,True
R,SWE,OK,4,0.69177,329,0.001996007984031936,0.15893896000000002,0.058565703971850284,500,True,1.0,5.5114638447971785e-06,2026-08-27T07:04:17,Kalamalka_Lake,0.004960493214753924,True,resolved,True
R,T,OK,10,0.15821,325,0.3193612774451098,0.13332244,0.052328385326191745,500,True,0.8888888888888888,0.00024250440917107584,2026-08-27T07:03:47,Kalamalka_Lake,0.38766397840157835,False,not_significant,False
R,WL,OK,0,0.48413,319,0.001996007984031936,0.22552536,0.058030897160653995,500,True,0.8888888888888888,0.00024250440917107584,2026-08-27T07:00:26,Kalamalka_Lake,0.004960493214753924,True,unresolved_contemporaneous,True
RegFlow,Evap,OK,-2,0.22597,329,0.011976047904191617,0.075646,0.06271638559100803,500,True,1.0,5.5114638447971785e-06,2026-08-27T07:11:06,Kalamalka_Lake,0.02418240442192538,True,rejected_reverse,False
RegFlow,P,OK,-1,0.49509,328,0.001996007984031936,0.14380218,0.06440949372140414,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T06:58:37,Kalamalka_Lake,0.004960493214753924,True,rejected_reverse,False
RegFlow,R,OK,5,0.64373,329,0.001996007984031936,0.1139468,0.07660278644122549,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T07:01:16,Kalamalka_Lake,0.004960493214753924,True,resolved,True
RegFlow,SWE,OK,-2,0.51829,327,0.001996007984031936,0.18516981999999998,0.0861649590202862,500,True,1.0,5.5114638447971785e-06,2026-08-27T07:04:59,Kalamalka_Lake,0.004960493214753924,True,rejected_reverse,False
RegFlow,T,OK,-10,0.21694,316,0.33532934131736525,0.18455196,0.0888854466634353,500,True,0.7222222222222222,0.0058862433862433864,2026-08-27T06:48:49,Kalamalka_Lake,0.40010887316276533,False,not_significant,False
RegFlow,WL,OK,2,0.80939,319,0.001996007984031936,0.3085785,0.07177433582799635,500,True,0.8333333333333334,0.0008542768959435626,2026-08-27T06:54:21,Kalamalka_Lake,0.004960493214753924,True,resolved,True
SWE,Evap,OK,1,0.5025,331,0.001996007984031936,0.1098127,0.057880080757631985,500,True,1.0,5.5114638447971785e-06,2026-08-27T06:55:38,Kalamalka_Lake,0.004960493214753924,True,resolved,True
SWE,P,OK,3,0.37604,329,0.001996007984031936,0.1486069,0.061369005158874786,500,True,1.0,5.5114638447971785e-06,2026-08-27T06:47:42,Kalamalka_Lake,0.004960493214753924,True,resolved,True
SWE,R,OK,5,0.74437,329,0.001996007984031936,0.19940778,0.07125542212401524,500,True,1.0,5.5114638447971785e-06,2026-08-27T07:06:12,Kalamalka_Lake,0.004960493214753924,True,resolved,True
SWE,RegFlow,OK,11,0.351,324,0.011976047904191617,0.19922770000000004,0.06742501885583718,500,True,1.0,5.5114638447971785e-06,2026-08-27T07:03:19,Kalamalka_Lake,0.02418240442192538,True,resolved,True
SWE,T,OK,5,0.21389,326,0.1596806387225549,0.14505206,0.07097057285633532,500,True,0.5555555555555556,0.04461529982363316,2026-08-27T07:09:33,Kalamalka_Lake,0.21845559694942365,False,not_significant,False
SWE,WL,OK,3,0.34763,319,0.10179640718562874,0.27319648,0.058713834867172486,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T07:08:37,Kalamalka_Lake,0.1479394152870729,False,not_significant,False
T,Evap,OK,3,0.31526,331,0.001996007984031936,0.10582408000000001,0.04292577402160152,500,True,1.0,5.5114638447971785e-06,2026-08-27T06:45:39,Kalamalka_Lake,0.004960493214753924,True,resolved,True
T,P,OK,6,0.22753,329,0.02594810379241517,0.13355656,0.04501901642824285,500,True,1.0,5.5114638447971785e-06,2026-08-27T07:01:42,Kalamalka_Lake,0.04822213979121403,True,resolved,True
