cause,effect,status,obs_lag,obs_rho,obs_n,p_value,null_mean,null_std,n_valid_surrogates,convergence_diagnostic_pass,kendall_tau,kendall_p,completed_at,cause_lake,effect_lake,p_fdr,statistically_significant,lag_resolution,causal_evidence,waterway_connected
Kalamalka_Lake,Kiskitto_Lake,OK,-11,0.3991,268,0.03592814371257485,0.25397126,0.072487770834896,500,False,0.3333333333333333,0.25951829805996474,2026-08-27T12:12:25,Kalamalka_Lake,Kiskitto_Lake,0.08509297195083516,False,not_significant,False,False
Kalamalka_Lake,Lake_of_the_Woods,OK,-9,0.43907,320,0.001996007984031936,0.24197746,0.06319582086616488,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T12:17:25,Kalamalka_Lake,Lake_of_the_Woods,0.009454774661203907,True,rejected_reverse,False,False
Kalamalka_Lake,Okanagan_Lake,OK,1,0.6289,330,0.001996007984031936,0.22317059999999997,0.0611628055899989,500,True,0.7222222222222222,0.0058862433862433864,2026-08-27T12:00:33,Kalamalka_Lake,Okanagan_Lake,0.009454774661203907,True,resolved,True,True
Kalamalka_Lake,Playgreen_Lake,OK,-4,0.3451,289,0.04590818363273453,0.22071668,0.06683371603148817,500,False,-0.3333333333333333,0.25951829805996474,2026-08-27T12:11:20,Kalamalka_Lake,Playgreen_Lake,0.09837467921300257,False,not_significant,False,False
Kalamalka_Lake,Rainy_Lake,OK,9,0.17242,322,0.5888223552894212,0.19240972000000003,0.06575106593144783,500,True,0.7222222222222222,0.0058862433862433864,2026-08-27T12:08:51,Kalamalka_Lake,Rainy_Lake,0.7065868263473054,False,not_significant,False,False
Kalamalka_Lake,Sipiwesk_Lake,OK,-2,0.44669,235,0.09181636726546906,0.34082252,0.07699174147952233,500,False,-0.2222222222222222,0.47670855379188715,2026-08-27T12:11:38,Kalamalka_Lake,Sipiwesk_Lake,0.17581857561472797,False,not_significant,False,False
Kalamalka_Lake,Skaha_Lake,OK,2,0.10044,309,0.8962075848303394,0.18991049999999998,0.06976833748879215,500,True,0.8333333333333334,0.0008542768959435626,2026-08-27T12:16:33,Kalamalka_Lake,Skaha_Lake,0.916575939031029,False,not_significant,False,False
Kalamalka_Lake,Split_Lake,OK,3,0.44477,299,0.017964071856287425,0.293597,0.06531149043927877,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T12:12:49,Kalamalka_Lake,Split_Lake,0.05215375700212478,False,not_significant,False,False
Kalamalka_Lake,Vaseux_Lake,OK,6,0.49227,324,0.001996007984031936,0.28900552,0.07373673636342742,500,True,0.7777777777777778,0.0024250440917107582,2026-08-27T12:36:16,Kalamalka_Lake,Vaseux_Lake,0.009454774661203907,True,resolved,True,False
Kiskitto_Lake,Kalamalka_Lake,OK,6,0.40076,279,0.18762475049900199,0.32672754,0.08263148794344925,500,True,0.6666666666666666,0.012665343915343916,2026-08-27T12:05:16,Kiskitto_Lake,Kalamalka_Lake,0.31270791749833665,False,not_significant,False,False
