lake,method_1,method_2,horizon_months,dm_stat,p_value,n,p_fdr
Kalamalka_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,1,0.7982401112894637,0.42473116455141646,37,0.7046782059144501
Kalamalka_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,3,-0.35036149410955986,0.726067420466266,35,0.8921787860341941
Kalamalka_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,6,-0.8188623222540405,0.41286496868838984,32,0.6952470355627449
Kalamalka_Lake,XGBoost_CCM_ancestors,XGBoost_CCM_direct,12,-0.9199307935360749,0.35760892578202674,26,0.6727896739288978
Kalamalka_Lake,SARIMAX_CCM_ancestors,SARIMAX_CCM_direct,1,-3.496017309864152,0.0004722580631011386,37,0.006870558666270983
Kalamalka_Lake,SARIMAX_CCM_ancestors,SARIMAX_CCM_direct,3,-2.3970305100322857,0.016528547379617953,35,0.10007284140750507
Kalamalka_Lake,SARIMAX_CCM_ancestors,SARIMAX_CCM_direct,6,-1.8023474503817747,0.07149075740693367,32,0.3217084083312015
Kalamalka_Lake,SARIMAX_CCM_ancestors,SARIMAX_CCM_direct,12,-1.2209117463891568,0.22211943652003696,26,0.5561336267757316
Kalamalka_Lake,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,1,3.216560527441104,0.0012973716375623834,27,0.014400825176942456
Kalamalka_Lake,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,3,0.6923557854114665,0.4887139251003967,21,0.7397351684474186
Kalamalka_Lake,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,6,-4.491750102868893,7.064028157532931e-06,12,0.00014702008602865413
Kalamalka_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,1,-1.0688425693565675,0.2851406138656962,37,0.6125924155953345
Kalamalka_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,3,0.8516365523880401,0.3944158455480582,35,0.6912656661447546
Kalamalka_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,6,1.2864900666142034,0.1982720833462066,32,0.5324564818894096
Kalamalka_Lake,XGBoost_CCM_ancestors,XGBoost_Stepwise,12,1.013474348736594,0.3108336424234035,26,0.6428415937585141
Kalamalka_Lake,SARIMAX_CCM_ancestors,SARIMAX_Stepwise,1,-2.767560582030947,0.005647754750566003,37,0.04500890869772965
Kalamalka_Lake,SARIMAX_CCM_ancestors,SARIMAX_Stepwise,3,-1.447262024991875,0.14782355068401065,35,0.47658416629687317
Kalamalka_Lake,SARIMAX_CCM_ancestors,SARIMAX_Stepwise,6,-0.4264353905919738,0.6697906177996926,32,0.8545604433996078
Kalamalka_Lake,SARIMAX_CCM_ancestors,SARIMAX_Stepwise,12,0.5584421642978908,0.5765424875078597,26,0.8049822238562557
Kalamalka_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,1,-0.6002146667072553,0.5483631802576445,37,0.7868848946446402
Kalamalka_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,3,-0.4052228424169262,0.6853137159061977,35,0.8615602365714673
Kalamalka_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,6,0.5223636030269873,0.6014171926810898,32,0.8077253075475525
Kalamalka_Lake,XGBoost_CCM_ancestors,XGBoost_AR_only,12,1.7466507134966058,0.08069794458620971,26,0.34899240970399786
Kalamalka_Lake,XGBoost_CCM_ancestors,Persistence,1,1.1997432744230871,0.23023906085598855,37,0.5637471122429719
Kalamalka_Lake,XGBoost_CCM_ancestors,Persistence,3,1.5222193128941317,0.12795413753235252,35,0.4532843382795041
Kalamalka_Lake,XGBoost_CCM_ancestors,Persistence,6,1.708584532798641,0.08752793572890827,32,0.36894686832565127
Kalamalka_Lake,XGBoost_CCM_ancestors,Persistence,12,2.5387394474450242,0.011125264317826566,26,0.07560638811910708
