lake,method,selected_vars,selected_lags,old_direct_lags,new_direct_lags,old_neighbor_lags,new_neighbor_lags
Kalamalka_Lake,CCM_direct,"Evap,R,RegFlow","{""Evap"": 1, ""R"": 1, ""RegFlow"": 2}","{""Evap"": 1, ""R"": 0, ""RegFlow"": 2}","{""Evap"": 1, ""R"": 1, ""RegFlow"": 2}","{""Okanagan_Lake"": 2, ""Playgreen_Lake"": 6, ""Sipiwesk_Lake"": 3, ""Split_Lake"": 2, ""Vaseux_Lake"": 1}","{""Okanagan_Lake"": 2, ""Playgreen_Lake"": 6, ""Sipiwesk_Lake"": 3, ""Split_Lake"": 2, ""Vaseux_Lake"": 1}"
Kalamalka_Lake,CCM_ancestors,"Evap,P,R,RegFlow,SWE,T","{""Evap"": 1, ""P"": 2, ""R"": 1, ""RegFlow"": 2, ""SWE"": 3, ""T"": 4}","{""Evap"": 1, ""R"": 0, ""RegFlow"": 2}","{""Evap"": 1, ""R"": 1, ""RegFlow"": 2}","{""Okanagan_Lake"": 2, ""Playgreen_Lake"": 6, ""Sipiwesk_Lake"": 3, ""Split_Lake"": 2, ""Vaseux_Lake"": 1}","{""Okanagan_Lake"": 2, ""Playgreen_Lake"": 6, ""Sipiwesk_Lake"": 3, ""Split_Lake"": 2, ""Vaseux_Lake"": 1}"
Kalamalka_Lake,Stepwise,"R,RegFlow,SWE,T","{""R"": 1, ""RegFlow"": 1, ""SWE"": 3, ""T"": 5}","{""Evap"": 1, ""R"": 0, ""RegFlow"": 2}","{""Evap"": 1, ""R"": 1, ""RegFlow"": 2}","{""Okanagan_Lake"": 2, ""Playgreen_Lake"": 6, ""Sipiwesk_Lake"": 3, ""Split_Lake"": 2, ""Vaseux_Lake"": 1}","{""Okanagan_Lake"": 2, ""Playgreen_Lake"": 6, ""Sipiwesk_Lake"": 3, ""Split_Lake"": 2, ""Vaseux_Lake"": 1}"
Kalamalka_Lake,CCM_neighbor,"Okanagan_Lake,Playgreen_Lake,Sipiwesk_Lake,Split_Lake,Vaseux_Lake","{""_neighbor_Okanagan_Lake"": 2, ""_neighbor_Playgreen_Lake"": 6, ""_neighbor_Sipiwesk_Lake"": 3, ""_neighbor_Split_Lake"": 2, ""_neighbor_Vaseux_Lake"": 1}","{""Evap"": 1, ""R"": 0, ""RegFlow"": 2}","{""Evap"": 1, ""R"": 1, ""RegFlow"": 2}","{""Okanagan_Lake"": 2, ""Playgreen_Lake"": 6, ""Sipiwesk_Lake"": 3, ""Split_Lake"": 2, ""Vaseux_Lake"": 1}","{""Okanagan_Lake"": 2, ""Playgreen_Lake"": 6, ""Sipiwesk_Lake"": 3, ""Split_Lake"": 2, ""Vaseux_Lake"": 1}"
Kiskitto_Lake,CCM_direct,P,"{""P"": 1}","{""P"": 1}","{""P"": 1}",{},{}
Kiskitto_Lake,CCM_ancestors,P,"{""P"": 1}","{""P"": 1}","{""P"": 1}",{},{}
Kiskitto_Lake,Stepwise,"P,R,RegFlow,SWE,T","{""P"": 2, ""R"": 1, ""RegFlow"": 1, ""SWE"": 12, ""T"": 4}","{""P"": 1}","{""P"": 1}",{},{}
Lake_of_the_Woods,CCM_direct,"Evap,P,R,RegFlow","{""Evap"": 3, ""P"": 2, ""R"": 2, ""RegFlow"": 1}","{""Evap"": 3, ""P"": 2, ""R"": 2, ""RegFlow"": 0}","{""Evap"": 3, ""P"": 2, ""R"": 2, ""RegFlow"": 1}","{""Kiskitto_Lake"": 3, ""Rainy_Lake"": 1}","{""Rainy_Lake"": 1}"
Lake_of_the_Woods,CCM_ancestors,"Evap,P,R,RegFlow,SWE,T","{""Evap"": 3, ""P"": 2, ""R"": 2, ""RegFlow"": 1, ""SWE"": 12, ""T"": 4}","{""Evap"": 3, ""P"": 2, ""R"": 2, ""RegFlow"": 0}","{""Evap"": 3, ""P"": 2, ""R"": 2, ""RegFlow"": 1}","{""Kiskitto_Lake"": 3, ""Rainy_Lake"": 1}","{""Rainy_Lake"": 1}"
Lake_of_the_Woods,Stepwise,"Evap,P,R,RegFlow,SWE","{""Evap"": 1, ""P"": 1, ""R"": 1, ""RegFlow"": 1, ""SWE"": 3}","{""Evap"": 3, ""P"": 2, ""R"": 2, ""RegFlow"": 0}","{""Evap"": 3, ""P"": 2, ""R"": 2, ""RegFlow"": 1}","{""Kiskitto_Lake"": 3, ""Rainy_Lake"": 1}","{""Rainy_Lake"": 1}"
